RK	Team	Total Points	Previous Points
1	Brazil	1841.3	1837.56
2	Belgium	1816.71	1821.92
3	Argentina	1773.88	1770.65
4	France	1759.78	1764.85
5	England	1728.47	1737.46
6	Italy	1726.14	1713.86
7	Spain	1715.22	1716.93
8	Netherlands	1694.51	1679.41
9	Portugal	1676.56	1678.65
10	Denmark	1666.57	1665.47
11	Germany	1650.21	1658.96
12	Croatia	1645.64	1632.15
13	Mexico	1644.89	1649.57
14	Uruguay	1638.71	1640.95
15	Switzerland	1635.92	1621.43
16	USA	1627.48	1635.01
17	Colombia	1611.04	1604.07
18	Senegal	1584.38	1584.59
19	Wales	1569.82	1582.13
20	IR Iran	1564.61	1558.64
21	Serbia	1563.62	1549.53
22	Morocco	1563.5	1558.35
23	Peru	1561.01	1562.24
24	Japan	1559.54	1554.69
25	Sweden	1553.33	1563.44
26	Poland	1548.59	1546.18
27	Ukraine	1536.99	1542.79
28	Korea Republic	1530.3	1526.02
29	Chile	1509.61	1514.86
30	Tunisia	1507.54	1507.86
31	Costa Rica	1503.59	1500.06
32	Nigeria	1498.47	1504.7
33	Russia	1496.11	1493.42
34	Austria	1492.95	1502.47
35	Czechia	1492.21	1502.9
36	Hungary	1492.2	1486.76
37	Algeria	1489.1	1480.59
38	Australia	1488.72	1483.73
39	Egypt	1486.44	1482.63
40	Scotland	1479.53	1462.96
41	Canada	1475	1473.82
42	Norway	1473.04	1488.57
43	Cameroon	1471.44	1484.95
44	Ecuador	1464.39	1463.74
45	Türkiye	1460.14	1475.13
46	Mali	1448.85	1442.88
47	Paraguay	1448.77	1440.13
48	Côte d'Ivoire	1443.06	1435.91
49	Republic of Ireland	1440.19	1442.48
50	Qatar	1439.89	1441.97
51	Saudi Arabia	1437.78	1435.74
52	Greece	1437.6	1441.45
53	Romania	1434.68	1427.84
54	Burkina Faso	1432.25	1425.64
55	Slovakia	1425.59	1439.99
56	Finland	1405.6	1398.41
57	Venezuela	1404.37	1405.17
58	Bosnia and Herzegovina	1403.51	1403.98
59	Northern Ireland	1396.55	1399.1
60	Panama	1393.28	1389.27
61	Ghana	1393	1393.47
62	Iceland	1384.41	1379.61
63	Slovenia	1384.04	1372.48
64	Jamaica	1378.86	1382.06
65	North Macedonia	1358.51	1375.2
